artist_name,track_name,track_id,danceability,energy,acousticness,loudness,tempo,speechiness,era
Usher,You Make Me Wanna...,47TqCCnEliDp8NRDyIQoQq,0.761,0.639,0.0359,-7.577,164.088,0.0539,90s
Mariah Carey,Hero,4FCb4CUbFCMNRkI6lYc1zI,0.501,0.378,0.735,-9.37,119.987,0.029,90s
Beyoncé,Flawless Remix,0zVMzJ37VQNFUNvdxxat2E,0.639,0.659,0.241,-7.273,136.801,0.215,10s
Tove Lo,Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB,0.733,0.65,0.0703,-3.539,110.003,0.0315,10s
Jennifer Lopez,Dinero,22mQXNE0nCuWq4yOwcadIn,0.721,0.881,0.41,-2.528,127.759,0.342,10s
TLC,Creep,1aWV3uY3SIEZVbmv45oFWS,0.811,0.458,0.0193,-9.688,92.94,0.0402,90s
Chris Brown,Privacy,2Vf2Pflg5rTWSvSCK4qq4A,0.741,0.58,0.153,-7.741,97.092,0.378,10s
Dreezy,Body,20s34XSPIiYMGSFDRSs24t,0.735,0.567,0.552,-5.962,149.968,0.0635,10s
Usher,OMG (feat. will.i.am),1bM50INir8voAkVoKuvEUI,0.781,0.745,0.198,-5.81,129.998,0.0332,10s
Keri Hilson,Pretty Girl Rock,2Adn2LNgkHMH5TelQVAu4n,0.666,0.87,0.203,-5.004,160.014,0.246,10s
The Weeknd,Attention,6pDVjCUA3B1vg9waKutAsv,0.671,0.428,0.682,-7.054,148.041,0.124,10s
Wale,Lotus Flower Bomb (feat. Miguel),3MAgQuClHcAV8E9CbeBS6f,0.512,0.598,0.611,-4.959,70.189,0.115,10s
Iggy Azalea,Black Widow,7pNC5ZIKtwUK0ReSpM3P9f,0.741,0.726,0.181,-3.77,163.991,0.143,10s
Kelly Clarkson,Love So Soft,16QN8cBubEq706vNtPpOME,0.808,0.581,0.0053,-5.43,130.012,0.07,10s
PARTYNEXTDOOR,Not Nice,4STaHtfguDMkWbPEo6Fwcx,0.598,0.496,0.0253,-9.309,128.06,0.0804,10s
Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap),7nD9nN3jord9wWcfW3Gkcm,0.689,0.791,0.023,-5.194,95.04,0.053,10s
Jason Derulo,Ridin' Solo,6BaxqcoEM9r3LXisTyJjST,0.442,0.83,0.128,-4.02,89.338,0.146,10s
DJ Khaled,All I Do Is Win,6u5M4jPpYkoRV4vVHDQvkd,0.549,0.791,0.0104,-3.535,150.094,0.133,10s
Ty Dolla $ign,Paranoid (feat. B.o.B),0Yp3wCUpjrG7NWWPDpmQXm,0.858,0.398,0.00888,-11.306,97.476,0.0598,10s
Zara Larsson,Ain't My Fault,0ADG9OgdVTL7fgREP75BrZ,0.576,0.782,0.00778,-4.825,141.153,0.0296,10s
Trey Songz,Neighbors Know My Name,6jvvpPJQJy5rMOEkLlADl6,0.663,0.693,0.0379,-5.776,120.026,0.0635,10s
John Legend,Love Me Now,6nxQdXa1uAL0rY72wPZu89,0.488,0.762,0.591,-3.842,123.889,0.0865,10s
Demi Lovato,Give Your Heart a Break,3sP3c86WFjOzHHnbhhZcLA,0.643,0.695,0.236,-3.099,123.026,0.0463,10s
Labrinth,Beneath Your Beautiful,1wVcLKdJ4AFKPhKucNvEpy,0.558,0.522,0.228,-5.857,83.977,0.036,10s
Fifth Harmony,That's My Girl,2ACOWPLUe4A4KuQ5ioD2od,0.596,0.851,0.0358,-4.245,202.049,0.121,10s
Jason Derulo,It Girl,4fINc8dnfcz7AdhFYVA4i7,0.668,0.718,0.0165,-4.736,91.993,0.0605,10s
Chris Brown,Grass Ain't Greener,6DaE3A1uIvDqVrVSNvUy6B,0.644,0.601,0.388,-5.097,133.946,0.0496,10s
The Weeknd,All I Know,0NWqNXBJTpXbkI5rPWNy3p,0.469,0.417,0.418,-10.614,120.012,0.0704,10s
Chris Brown,Back To Sleep,6dlpABcXrQKRU9G00i6Zba,0.647,0.646,0.0424,-5.483,92.981,0.243,10s
Kid Ink,Promise (feat. Fetty Wap),5IZc3KIVFhjzJ0L2kiXzUl,0.797,0.469,0.0599,-8.112,103.057,0.0646,10s
Monica,Angel of Mine - Radio Mix,1AM1o0mKbgAK5oMpY8B3Z7,0.592,0.562,0.00373,-6.869,90.16,0.0239,90s
Rihanna,Loveeeeeee Song,3DZQ6mzUkAdHqZWzqxBKIK,0.703,0.601,0.474,-7.534,119.971,0.0322,10s
The Carters,BOSS,4F8V44j8cbjHnXjfW2HruU,0.813,0.488,0.187,-7.737,139.983,0.257,10s
The Weeknd,Prisoner,1gZADNt16Oh23jWyMYRk4p,0.55,0.404,0.441,-12.755,135.016,0.0398,10s
DJ Khaled,I'm On One,608a1wIsSd5KzMEqm1O7w3,0.508,0.809,0.058,-3.454,149.999,0.292,10s
Meghan Trainor,Lips Are Movin,6gj08XDlv9Duc2fPOxUmVD,0.775,0.825,0.0506,-5.402,139.091,0.0464,10s
Trey Songz,Na Na,5maiP9UMnTSgoxPX8X3bdz,0.67,0.476,0.328,-6.253,96.975,0.0406,10s
Brian McKnight,Back At One,6mwA6YiKDjAUG8kWvRRUPh,0.649,0.357,0.542,-9.09,129.798,0.0307,90s
Mariah Carey,One Sweet Day,7ySbfLwdCwl1EM0zNCJZ38,0.569,0.495,0.353,-8.964,128.228,0.03,90s
Ty Dolla $ign,Blasé (feat. Future & Rae Sremmurd),5suEtW2DUAfvroohjzgatb,0.897,0.642,0.0219,-8.828,127.984,0.0534,10s
Blood Orange,Charcoal Baby,3bBmpVl9rQKJsFFGLFilIS,0.622,0.46,0.14,-8.389,183.241,0.0372,10s
Miguel,How Many Drinks?,5ctk3VJoHoURSiwkCJn2bf,0.379,0.608,0.00311,-7.011,81.822,0.134,10s
Tevin Campbell,Can We Talk,6a5jHgwqYMk9wlYJYfs3c9,0.658,0.711,0.0759,-7.424,172.365,0.0425,90s
Alicia Keys,Un-thinkable (I'm Ready),4JOP8ELK6AaeySe7sKe996,0.595,0.507,0.732,-7.892,86.099,0.0618,10s
Rihanna,You Da One,3Yt9lRtS5V4nbJnwcgFgvC,0.702,0.715,0.503,-5.377,127.05,0.0425,10s
Sade,No Ordinary Love,42vYxMAWsFpBOS7hgAdzqW,0.629,0.364,0.468,-12.259,166.254,0.038,90s
Nelly,The Fix,33QRsLBBdWDYgCZfWEZqR6,0.812,0.479,0.0485,-6.47,95.505,0.0429,10s
Next,Too Close,5IFCyWplye09HytIP80RCF,0.847,0.402,0.0118,-9.952,99.693,0.0641,90s
Jessie J,"Flashlight - From ""Pitch Perfect 2"" Soundtrack",6SkoBaMd0lzoQjID5aV2d9,0.379,0.618,0.337,-7.065,147.53,0.0586,10s
SWV,Weak,71EHOyEOhNx1SzTebRRyng,0.693,0.533,0.107,-10.954,127.661,0.0402,90s
Ne-Yo,She Knows,7seTcUFOhn5caSDbiSfsp0,0.706,0.572,0.0262,-5.799,139.982,0.0326,10s
Diddy,I'll Be Missing You (feat. 112),3QHONiXGMGU3z68mQInncF,0.862,0.479,0.0522,-9.199,109.878,0.0646,90s
John Legend,Tonight (Best You Ever Had),17zF2ISrDrQdaULA8cxReK,0.693,0.813,0.0496,-4.361,90.008,0.066,10s
Keith Sweat,Nobody (feat. Athena Cage),4SF1747p541umnykBp352Q,0.699,0.492,0.484,-9.449,117.907,0.0318,90s
702,Where My Girls At,4VSyH8AkIt3kaR5xIPFVVi,0.719,0.736,0.0373,-7.517,92.179,0.052,90s
Mary J. Blige,Real Love,3XG801WWhqC753dekEBkMt,0.769,0.781,0.119,-5.472,95.02,0.0797,90s
Jennifer Lopez,On The Floor - Radio Edit,0Oe49j06Bjrxs8PltuVeaW,0.758,0.686,0.0848,-6.346,130.007,0.0792,10s
Cher Lloyd,Want U Back,6E11E0lT5Zy7yb6iT3y8DN,0.694,0.891,0.0562,-2.94,97.939,0.0949,10s
Christina Aguilera,Beautiful,3TCauNPqFiniaYHBvEVoHG,0.457,0.573,0.578,-3.866,76.193,0.0275,10s
DeJ Loaf,Back Up,0sr5LOMv4x0jmTYfe6oOvP,0.816,0.535,0.147,-8.302,80.012,0.338,10s
Aaliyah,At Your Best (You Are Love),4lRrk574qIHpoEEKC1zuam,0.626,0.441,0.761,-10.637,78.094,0.0308,90s
Keith Sweat,Twisted,69QIVIjPMnI1ABLBqh9P1b,0.615,0.514,0.393,-9.759,175.849,0.0466,90s
Rihanna,Where Have You Been,5WQQIDU3HRaMyPkob8mpFb,0.719,0.847,0.00201,-6.34,127.963,0.0916,10s
D'Angelo,Lady,7AjfklMN4WpQYz5FkT4E66,0.815,0.364,0.14,-11.834,84.898,0.089,90s
Tori Kelly,Should’ve Been Us,5SUKnxEQaFFeudmI4qYLd9,0.647,0.759,0.00367,-5.468,89.944,0.12,10s
Demi Lovato,Body Say,7xrA11O07xo57Bbg6p4hck,0.63,0.74,0.00589,-4.786,87.01,0.0381,10s
Brandy,The Boy Is Mine,6sHsXIJoEN5JpdkGMQDJxt,0.704,0.707,0.539,-6.537,93.145,0.0391,90s
Jason Derulo,Marry Me,3ogtSrlbtiTamktbA0hw0E,0.568,0.631,0.033,-5.623,105.096,0.0273,10s
Mase,Feel so Good,7hfRrdFJgFKK3cJ4rmkecE,0.821,0.703,0.192,-8.464,105.154,0.24,90s
DJ Khaled,"Do You Mind (feat. Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross)",4VJ7mnW4wjjIgPBM6KWvPu,0.412,0.548,0.0173,-6.981,81.293,0.243,10s
Kid Ink,Be Real (feat. DeJ Loaf),2npJP0YTkykkqjezhA1g8f,0.762,0.601,0.0702,-5.415,99.95,0.0817,10s
Jason Derulo,Wiggle (feat. Snoop Dogg),2sLwPnIP3CUVmIuHranJZU,0.697,0.621,0.0802,-6.886,81.946,0.25,10s
Ciara,Body Party,0rFZaQ4crlGAzuCjWCQ2xu,0.577,0.576,0.0143,-6.299,133.973,0.0563,10s
Kelly Clarkson,Heartbeat Song,7FC9Lng8iXU081lbigu8m8,0.49,0.798,0.0137,-3.66,149.109,0.0489,10s
Tamia,So into You,3c6afiysmB7OnxQzzSqRfD,0.656,0.479,0.0665,-7.055,184.374,0.0348,90s
Ty Dolla $ign,Saved (feat. E-40),5UPNBWFU2TEf9kauIITfBs,0.77,0.69,0.265,-5.565,103.035,0.136,10s
Brownstone,If You Love Me,0BTGqPIW9acmhhUmENkq5r,0.687,0.583,0.224,-10.224,95.137,0.064,90s
Kirk Franklin,I Smile,0UQDSP8cz6WmLJckO5jqUQ,0.745,0.753,0.223,-2.408,144.057,0.164,10s
Rihanna,California King Bed,2dPOobBArCJotBAs0ThXqL,0.469,0.616,0.246,-3.841,169.878,0.0369,10s
Jessie J,Domino,6MAdEUilV2p9RQUqE5bMAK,0.757,0.547,0.0115,-4.573,126.977,0.0355,10s
